------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4551  |     0.7021  |   0.5272  |               |              7.3197  |
|          |      1  |      1.2705  |     0.8057  |   0.7601  |               |              7.7267  |
|          |      2  |      1.2295  |     0.8213  |   0.7706  |               |              8.1035  |
|          |      3  |      1.1523  |     0.8691  |   0.8112  |               |              8.4505  |
|          |      4  |      1.1475  |     0.8555  |   0.8073  |               |              8.7965  |
|          |      5  |      1.0938  |     0.8945  |   0.8651  |               |              9.1432  |
|          |      6  |      1.0488  |     0.9150  |   0.8805  |               |              9.4893  |
|          |      7  |      1.0146  |     0.9395  |   0.9034  |               |              9.8361  |
|          |      8  |      0.9746  |     0.9629  |   0.9199  |               |             10.1820  |
|          |      9  |      0.9360  |     0.9785  |   0.9301  |               |             10.5006  |
|          |   eval  |      0.9360  |     0.9785  |   0.9301  |       0.9380  |             10.6495  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4229  |     0.7236  |   0.5619  |               |              0.3851  |
|          |      1  |      1.2402  |     0.8242  |   0.6437  |               |              0.7630  |
|          |      2  |      1.2041  |     0.8320  |   0.7442  |               |              1.1400  |
|          |      3  |      1.1523  |     0.8506  |   0.8170  |               |              1.4868  |
|          |      4  |      1.1348  |     0.8662  |   0.8128  |               |              1.8330  |
|          |      5  |      1.0986  |     0.8848  |   0.8551  |               |              2.1796  |
|          |      6  |      1.0557  |     0.9150  |   0.8644  |               |              2.5257  |
|          |      7  |      1.0176  |     0.9307  |   0.8947  |               |              2.8721  |
|          |      8  |      0.9575  |     0.9746  |   0.9238  |               |              3.2184  |
|          |      9  |      0.9463  |     0.9795  |   0.9335  |               |              3.5370  |
|          |   eval  |      0.9463  |     0.9795  |   0.9335  |       0.9385  |              3.6860  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4492  |     0.6826  |   0.6277  |               |              0.3848  |
|          |      1  |      1.2510  |     0.8174  |   0.7491  |               |              0.7626  |
|          |      2  |      1.1719  |     0.8516  |   0.8075  |               |              1.1398  |
|          |      3  |      1.1582  |     0.8545  |   0.7511  |               |              1.4866  |
|          |      4  |      1.1299  |     0.8789  |   0.8566  |               |              1.8327  |
|          |      5  |      1.1240  |     0.8779  |   0.8131  |               |              2.1792  |
|          |      6  |      1.0381  |     0.9238  |   0.8473  |               |              2.5255  |
|          |      7  |      1.0254  |     0.9346  |   0.9002  |               |              2.8721  |
|          |      8  |      0.9634  |     0.9590  |   0.9197  |               |              3.2181  |
|          |      9  |      0.9453  |     0.9795  |   0.9330  |               |              3.5366  |
|          |   eval  |      0.9453  |     0.9795  |   0.9330  |       0.9428  |              3.6857  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4346  |     0.7100  |   0.6553  |               |              0.3855  |
|          |      1  |      1.2451  |     0.8184  |   0.7626  |               |              0.7634  |
|          |      2  |      1.2031  |     0.8438  |   0.7079  |               |              1.1408  |
|          |      3  |      1.1416  |     0.8672  |   0.8168  |               |              1.4877  |
|          |      4  |      1.1670  |     0.8574  |   0.8459  |               |              1.8341  |
|          |      5  |      1.1045  |     0.8896  |   0.8592  |               |              2.1808  |
|          |      6  |      1.0527  |     0.9189  |   0.8936  |               |              2.5270  |
|          |      7  |      1.0273  |     0.9287  |   0.8930  |               |              2.8735  |
|          |      8  |      0.9639  |     0.9648  |   0.9199  |               |              3.2198  |
|          |      9  |      0.9414  |     0.9863  |   0.9340  |               |              3.5383  |
|          |   eval  |      0.9414  |     0.9863  |   0.9340  |       0.9397  |              3.6873  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4473  |     0.6943  |   0.6992  |               |              0.3849  |
|          |      1  |      1.2559  |     0.8115  |   0.7885  |               |              0.7627  |
|          |      2  |      1.2139  |     0.8203  |   0.7841  |               |              1.1399  |
|          |      3  |      1.1787  |     0.8477  |   0.7862  |               |              1.4867  |
|          |      4  |      1.1162  |     0.8730  |   0.8595  |               |              1.8329  |
|          |      5  |      1.0889  |     0.9121  |   0.8408  |               |              2.1795  |
|          |      6  |      1.0332  |     0.9277  |   0.8894  |               |              2.5257  |
|          |      7  |      1.0195  |     0.9346  |   0.9029  |               |              2.8724  |
|          |      8  |      0.9717  |     0.9551  |   0.9204  |               |              3.2185  |
|          |      9  |      0.9624  |     0.9639  |   0.9300  |               |              3.5370  |
|          |   eval  |      0.9624  |     0.9639  |   0.9300  |       0.9382  |              3.6861  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4277  |     0.7168  |   0.5901  |               |              0.3850  |
|          |      1  |      1.2734  |     0.7920  |   0.7569  |               |              0.7630  |
|          |      2  |      1.1914  |     0.8428  |   0.7907  |               |              1.1401  |
|          |      3  |      1.1533  |     0.8623  |   0.7677  |               |              1.4868  |
|          |      4  |      1.1387  |     0.8672  |   0.8586  |               |              1.8330  |
|          |      5  |      1.1084  |     0.8818  |   0.8730  |               |              2.1797  |
|          |      6  |      1.0537  |     0.9150  |   0.8750  |               |              2.5259  |
|          |      7  |      1.0283  |     0.9258  |   0.9016  |               |              2.8725  |
|          |      8  |      0.9756  |     0.9590  |   0.9173  |               |              3.2188  |
|          |      9  |      0.9443  |     0.9736  |   0.9318  |               |              3.5374  |
