------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4941  |     0.6670  |   0.6523  |               |              7.3188  |
|          |      1  |      1.2568  |     0.8115  |   0.7170  |               |              7.7291  |
|          |      2  |      1.1855  |     0.8457  |   0.7911  |               |              8.1063  |
|          |      3  |      1.1484  |     0.8721  |   0.8365  |               |              8.4538  |
|          |      4  |      1.1006  |     0.8926  |   0.7967  |               |              8.8002  |
|          |      5  |      1.0713  |     0.9033  |   0.8684  |               |              9.1473  |
|          |      6  |      1.0430  |     0.9316  |   0.8782  |               |              9.4938  |
|          |      7  |      1.0107  |     0.9434  |   0.8926  |               |              9.8413  |
|          |      8  |      0.9639  |     0.9629  |   0.9240  |               |             10.1877  |
|          |      9  |      0.9409  |     0.9785  |   0.9322  |               |             10.5068  |
|          |   eval  |      0.9409  |     0.9785  |   0.9322  |       0.9412  |             10.6558  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4180  |     0.7139  |   0.7153  |               |              0.3857  |
|          |      1  |      1.2520  |     0.8125  |   0.7242  |               |              0.7639  |
|          |      2  |      1.1826  |     0.8467  |   0.7872  |               |              1.1412  |
|          |      3  |      1.1543  |     0.8652  |   0.8298  |               |              1.4883  |
|          |      4  |      1.1191  |     0.8672  |   0.8532  |               |              1.8349  |
|          |      5  |      1.1045  |     0.8926  |   0.8557  |               |              2.1821  |
|          |      6  |      1.0361  |     0.9336  |   0.8954  |               |              2.5287  |
|          |      7  |      1.0107  |     0.9414  |   0.8987  |               |              2.8756  |
|          |      8  |      0.9678  |     0.9629  |   0.9236  |               |              3.2224  |
|          |      9  |      0.9404  |     0.9756  |   0.9328  |               |              3.5413  |
|          |   eval  |      0.9404  |     0.9756  |   0.9328  |       0.9415  |              3.6904  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4473  |     0.7041  |   0.6740  |               |              0.3854  |
|          |      1  |      1.2607  |     0.8086  |   0.8014  |               |              0.7635  |
|          |      2  |      1.2246  |     0.8154  |   0.8006  |               |              1.1411  |
|          |      3  |      1.1426  |     0.8779  |   0.7865  |               |              1.4885  |
|          |      4  |      1.1396  |     0.8770  |   0.8384  |               |              1.8351  |
|          |      5  |      1.0762  |     0.9033  |   0.8757  |               |              2.1821  |
|          |      6  |      1.0508  |     0.9189  |   0.8966  |               |              2.5289  |
|          |      7  |      1.0098  |     0.9443  |   0.9011  |               |              2.8759  |
|          |      8  |      0.9834  |     0.9521  |   0.9219  |               |              3.2225  |
|          |      9  |      0.9351  |     0.9814  |   0.9338  |               |              3.5413  |
|          |   eval  |      0.9351  |     0.9814  |   0.9338  |       0.9415  |              3.6904  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4971  |     0.6699  |   0.5802  |               |              0.3854  |
|          |      1  |      1.2451  |     0.8164  |   0.6638  |               |              0.7638  |
|          |      2  |      1.1943  |     0.8398  |   0.7895  |               |              1.1413  |
|          |      3  |      1.1416  |     0.8701  |   0.8514  |               |              1.4884  |
|          |      4  |      1.1455  |     0.8613  |   0.8644  |               |              1.8353  |
|          |      5  |      1.0732  |     0.9102  |   0.8426  |               |              2.1826  |
|          |      6  |      1.0430  |     0.9180  |   0.8998  |               |              2.5295  |
|          |      7  |      1.0078  |     0.9443  |   0.9012  |               |              2.8765  |
|          |      8  |      0.9780  |     0.9521  |   0.9233  |               |              3.2233  |
|          |      9  |      0.9375  |     0.9795  |   0.9323  |               |              3.5424  |
|          |   eval  |      0.9375  |     0.9795  |   0.9323  |       0.9421  |              3.6916  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4395  |     0.6973  |   0.6279  |               |              0.3853  |
|          |      1  |      1.3027  |     0.7861  |   0.7412  |               |              0.7636  |
|          |      2  |      1.2246  |     0.8252  |   0.7871  |               |              1.1411  |
|          |      3  |      1.1611  |     0.8594  |   0.8419  |               |              1.4883  |
|          |      4  |      1.1250  |     0.8838  |   0.8539  |               |              1.8349  |
|          |      5  |      1.1143  |     0.8750  |   0.8287  |               |              2.1818  |
|          |      6  |      1.0303  |     0.9170  |   0.8886  |               |              2.5285  |
