------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4531  |     0.6953  |   0.6173  |               |              7.2508  |
|          |      1  |      1.2832  |     0.7930  |   0.7653  |               |              7.6643  |
|          |      2  |      1.1748  |     0.8516  |   0.8105  |               |              8.0431  |
|          |      3  |      1.1279  |     0.8838  |   0.8280  |               |              8.3914  |
|          |      4  |      1.1191  |     0.8828  |   0.8424  |               |              8.7390  |
|          |      5  |      1.0898  |     0.9102  |   0.8744  |               |              9.0871  |
|          |      6  |      1.0400  |     0.9248  |   0.8988  |               |              9.4347  |
|          |      7  |      1.0312  |     0.9219  |   0.9057  |               |              9.7829  |
|          |      8  |      0.9731  |     0.9590  |   0.9294  |               |             10.1305  |
|          |      9  |      0.9404  |     0.9805  |   0.9349  |               |             10.4504  |
|          |   eval  |      0.9404  |     0.9805  |   0.9349  |       0.9397  |             10.5996  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4639  |     0.6855  |   0.5700  |               |              0.3868  |
|          |      1  |      1.2510  |     0.8262  |   0.7354  |               |              0.7665  |
|          |      2  |      1.2041  |     0.8350  |   0.7856  |               |              1.1453  |
|          |      3  |      1.1475  |     0.8721  |   0.7367  |               |              1.4938  |
|          |      4  |      1.1191  |     0.8809  |   0.8176  |               |              1.8417  |
|          |      5  |      1.1191  |     0.8789  |   0.8516  |               |              2.1900  |
|          |      6  |      1.0459  |     0.9131  |   0.8828  |               |              2.5378  |
|          |      7  |      1.0264  |     0.9238  |   0.8956  |               |              2.8859  |
|          |      8  |      0.9722  |     0.9590  |   0.9245  |               |              3.2338  |
|          |      9  |      0.9395  |     0.9834  |   0.9300  |               |              3.5540  |
|          |   eval  |      0.9395  |     0.9834  |   0.9300  |       0.9392  |              3.7031  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4453  |     0.6924  |   0.6382  |               |              0.3865  |
|          |      1  |      1.2354  |     0.8164  |   0.7649  |               |              0.7663  |
|          |      2  |      1.1836  |     0.8496  |   0.7959  |               |              1.1452  |
|          |      3  |      1.1270  |     0.8779  |   0.8368  |               |              1.4937  |
|          |      4  |      1.1191  |     0.8799  |   0.8208  |               |              1.8416  |
|          |      5  |      1.0879  |     0.9004  |   0.8621  |               |              2.1896  |
|          |      6  |      1.0605  |     0.9111  |   0.8956  |               |              2.5375  |
|          |      7  |      1.0195  |     0.9346  |   0.8871  |               |              2.8857  |
|          |      8  |      0.9702  |     0.9619  |   0.9224  |               |              3.2334  |
|          |      9  |      0.9395  |     0.9814  |   0.9319  |               |              3.5532  |
|          |   eval  |      0.9395  |     0.9814  |   0.9319  |       0.9410  |              3.7025  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4199  |     0.7129  |   0.6941  |               |              0.3865  |
|          |      1  |      1.2617  |     0.7979  |   0.7782  |               |              0.7665  |
|          |      2  |      1.2139  |     0.8271  |   0.8241  |               |              1.1453  |
|          |      3  |      1.1572  |     0.8525  |   0.8295  |               |              1.4935  |
|          |      4  |      1.1221  |     0.8779  |   0.8377  |               |              1.8413  |
|          |      5  |      1.0605  |     0.9170  |   0.8359  |               |              2.1894  |
|          |      6  |      1.0312  |     0.9326  |   0.8896  |               |              2.5371  |
|          |      7  |      1.0371  |     0.9199  |   0.8987  |               |              2.8851  |
|          |      8  |      0.9648  |     0.9688  |   0.9220  |               |              3.2329  |
|          |      9  |      0.9419  |     0.9756  |   0.9296  |               |              3.5529  |
|          |   eval  |      0.9419  |     0.9756  |   0.9296  |       0.9394  |              3.7021  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4756  |     0.6699  |   0.5595  |               |              0.3864  |
|          |      1  |      1.2412  |     0.8311  |   0.7576  |               |              0.7659  |
|          |      2  |      1.2119  |     0.8389  |   0.7651  |               |              1.1449  |
|          |      3  |      1.1465  |     0.8613  |   0.7788  |               |              1.4934  |
|          |      4  |      1.1221  |     0.8779  |   0.8558  |               |              1.8409  |
|          |      5  |      1.1045  |     0.8867  |   0.8583  |               |              2.1890  |
|          |      6  |      1.0391  |     0.9219  |   0.8890  |               |              2.5370  |
|          |      7  |      0.9912  |     0.9492  |   0.8983  |               |              2.8851  |
|          |      8  |      0.9668  |     0.9648  |   0.9233  |               |              3.2328  |
|          |      9  |      0.9385  |     0.9785  |   0.9309  |               |              3.5527  |
|          |   eval  |      0.9385  |     0.9785  |   0.9309  |       0.9390  |              3.7019  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4258  |     0.7119  |   0.6147  |               |              0.3866  |
|          |      1  |      1.2686  |     0.8066  |   0.7677  |               |              0.7662  |
|          |      2  |      1.2314  |     0.8242  |   0.7257  |               |              1.1449  |
|          |      3  |      1.1641  |     0.8613  |   0.7480  |               |              1.4933  |
