------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.5098  |     0.6709  |   0.6182  |               |              7.2681  |
|          |      1  |      1.2568  |     0.8154  |   0.7142  |               |              7.6789  |
|          |      2  |      1.2021  |     0.8350  |   0.8161  |               |              8.0573  |
|          |      3  |      1.1641  |     0.8506  |   0.7835  |               |              8.4051  |
|          |      4  |      1.1348  |     0.8730  |   0.8452  |               |              8.7524  |
|          |      5  |      1.0918  |     0.8926  |   0.7962  |               |              9.1001  |
|          |      6  |      1.0361  |     0.9248  |   0.8914  |               |              9.4474  |
|          |      7  |      1.0137  |     0.9297  |   0.8996  |               |              9.7950  |
|          |      8  |      0.9912  |     0.9473  |   0.9245  |               |             10.1422  |
|          |      9  |      0.9380  |     0.9775  |   0.9339  |               |             10.4617  |
|          |   eval  |      0.9380  |     0.9775  |   0.9339  |       0.9411  |             10.6109  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4902  |     0.6699  |   0.6923  |               |              0.3861  |
|          |      1  |      1.2871  |     0.7822  |   0.7329  |               |              0.7651  |
|          |      2  |      1.1924  |     0.8457  |   0.6659  |               |              1.1434  |
|          |      3  |      1.1582  |     0.8613  |   0.8272  |               |              1.4915  |
|          |      4  |      1.1426  |     0.8633  |   0.8562  |               |              1.8388  |
|          |      5  |      1.0840  |     0.9033  |   0.8461  |               |              2.1870  |
|          |      6  |      1.0479  |     0.9199  |   0.8848  |               |              2.5345  |
|          |      7  |      1.0176  |     0.9355  |   0.9068  |               |              2.8822  |
|          |      8  |      0.9683  |     0.9619  |   0.9249  |               |              3.2297  |
|          |      9  |      0.9453  |     0.9727  |   0.9348  |               |              3.5493  |
|          |   eval  |      0.9453  |     0.9727  |   0.9348  |       0.9416  |              3.6985  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4199  |     0.7148  |   0.6676  |               |              0.3915  |
|          |      1  |      1.3105  |     0.7646  |   0.7126  |               |              0.7705  |
|          |      2  |      1.1963  |     0.8496  |   0.7369  |               |              1.1489  |
|          |      3  |      1.1689  |     0.8691  |   0.8102  |               |              1.4969  |
|          |      4  |      1.1465  |     0.8682  |   0.8472  |               |              1.8444  |
|          |      5  |      1.1025  |     0.8916  |   0.8521  |               |              2.1932  |
|          |      6  |      1.0557  |     0.9141  |   0.8629  |               |              2.5407  |
|          |      7  |      1.0283  |     0.9268  |   0.9012  |               |              2.8886  |
|          |      8  |      0.9771  |     0.9590  |   0.9239  |               |              3.2360  |
|          |      9  |      0.9507  |     0.9727  |   0.9334  |               |              3.5557  |
|          |   eval  |      0.9507  |     0.9727  |   0.9334  |       0.9394  |              3.7049  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4688  |     0.6807  |   0.5985  |               |              0.3869  |
|          |      1  |      1.2588  |     0.8018  |   0.7462  |               |              0.7661  |
|          |      2  |      1.2139  |     0.8252  |   0.8086  |               |              1.1444  |
|          |      3  |      1.1523  |     0.8594  |   0.8096  |               |              1.4924  |
|          |      4  |      1.1240  |     0.8809  |   0.8582  |               |              1.8399  |
|          |      5  |      1.1094  |     0.8818  |   0.8521  |               |              2.1877  |
|          |      6  |      1.0518  |     0.9150  |   0.8919  |               |              2.5352  |
|          |      7  |      1.0293  |     0.9297  |   0.9021  |               |              2.8830  |
|          |      8  |      0.9834  |     0.9502  |   0.9195  |               |              3.2305  |
|          |      9  |      0.9380  |     0.9814  |   0.9319  |               |              3.5501  |
|          |   eval  |      0.9380  |     0.9814  |   0.9319  |       0.9383  |              3.6993  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4404  |     0.7051  |   0.6357  |               |              0.3859  |
|          |      1  |      1.2666  |     0.8018  |   0.7000  |               |              0.7650  |
|          |      2  |      1.1934  |     0.8350  |   0.8036  |               |              1.1433  |
|          |      3  |      1.1377  |     0.8799  |   0.8436  |               |              1.4914  |
|          |      4  |      1.1377  |     0.8789  |   0.8704  |               |              1.8389  |
|          |      5  |      1.0879  |     0.9004  |   0.8601  |               |              2.1867  |
|          |      6  |      1.0547  |     0.9131  |   0.8556  |               |              2.5342  |
|          |      7  |      1.0225  |     0.9287  |   0.8924  |               |              2.8819  |
|          |      8  |      0.9692  |     0.9639  |   0.9256  |               |              3.2293  |
|          |      9  |      0.9424  |     0.9795  |   0.9318  |               |              3.5489  |
|          |   eval  |      0.9424  |     0.9795  |   0.9318  |       0.9398  |              3.6982  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4316  |     0.7021  |   0.5905  |               |              0.3860  |
