------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4121  |     0.7061  |   0.6400  |               |              7.3244  |
|          |      1  |      1.2754  |     0.7988  |   0.6546  |               |              7.7297  |
|          |      2  |      1.1855  |     0.8447  |   0.7845  |               |              8.1075  |
|          |      3  |      1.1650  |     0.8516  |   0.7769  |               |              8.4546  |
|          |      4  |      1.1553  |     0.8594  |   0.8508  |               |              8.8012  |
|          |      5  |      1.0791  |     0.8975  |   0.8708  |               |              9.1481  |
|          |      6  |      1.0293  |     0.9346  |   0.8846  |               |              9.4947  |
|          |      7  |      1.0264  |     0.9258  |   0.8862  |               |              9.8417  |
|          |      8  |      0.9751  |     0.9590  |   0.9209  |               |             10.1883  |
|          |      9  |      0.9385  |     0.9805  |   0.9333  |               |             10.5070  |
|          |   eval  |      0.9385  |     0.9805  |   0.9333  |       0.9414  |             10.6561  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4102  |     0.7227  |   0.7217  |               |              0.3854  |
|          |      1  |      1.2764  |     0.7939  |   0.6994  |               |              0.7639  |
|          |      2  |      1.2275  |     0.8223  |   0.7152  |               |              1.1414  |
|          |      3  |      1.1670  |     0.8555  |   0.8162  |               |              1.4890  |
|          |      4  |      1.1543  |     0.8633  |   0.8444  |               |              1.8362  |
|          |      5  |      1.1006  |     0.8916  |   0.8534  |               |              2.1836  |
|          |      6  |      1.0244  |     0.9297  |   0.8671  |               |              2.5307  |
|          |      7  |      1.0176  |     0.9375  |   0.9041  |               |              2.8782  |
|          |      8  |      0.9712  |     0.9697  |   0.9201  |               |              3.2253  |
|          |      9  |      0.9395  |     0.9795  |   0.9331  |               |              3.5446  |
|          |   eval  |      0.9395  |     0.9795  |   0.9331  |       0.9396  |              3.6937  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4541  |     0.6875  |   0.6429  |               |              0.3851  |
|          |      1  |      1.2617  |     0.7988  |   0.7184  |               |              0.7634  |
|          |      2  |      1.2109  |     0.8193  |   0.6822  |               |              1.1410  |
|          |      3  |      1.1484  |     0.8652  |   0.8432  |               |              1.4887  |
|          |      4  |      1.1250  |     0.8760  |   0.8730  |               |              1.8357  |
