------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4111  |     0.7344  |   0.6950  |               |              7.2937  |
|          |      1  |      1.2725  |     0.8057  |   0.7228  |               |              7.6986  |
|          |      2  |      1.2217  |     0.8369  |   0.7873  |               |              8.0781  |
|          |      3  |      1.1602  |     0.8594  |   0.8467  |               |              8.4272  |
|          |      4  |      1.1309  |     0.8701  |   0.8609  |               |              8.7754  |
|          |      5  |      1.0889  |     0.8965  |   0.8505  |               |              9.1244  |
|          |      6  |      1.0361  |     0.9268  |   0.9019  |               |              9.4728  |
|          |      7  |      1.0176  |     0.9287  |   0.9006  |               |              9.8219  |
|          |      8  |      0.9653  |     0.9678  |   0.9246  |               |             10.1702  |
|          |      9  |      0.9419  |     0.9766  |   0.9313  |               |             10.4907  |
|          |   eval  |      0.9419  |     0.9766  |   0.9313  |       0.9383  |             10.6403  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4492  |     0.6992  |   0.6198  |               |              0.3871  |
|          |      1  |      1.2676  |     0.8027  |   0.7528  |               |              0.7670  |
|          |      2  |      1.1973  |     0.8438  |   0.8111  |               |              1.1460  |
|          |      3  |      1.1885  |     0.8457  |   0.7430  |               |              1.4946  |
|          |      4  |      1.1094  |     0.8877  |   0.8568  |               |              1.8428  |
|          |      5  |      1.1006  |     0.8750  |   0.8381  |               |              2.1914  |
|          |      6  |      1.0508  |     0.9170  |   0.8919  |               |              2.5398  |
|          |      7  |      1.0156  |     0.9365  |   0.9018  |               |              2.8882  |
|          |      8  |      0.9595  |     0.9707  |   0.9246  |               |              3.2364  |
|          |      9  |      0.9395  |     0.9814  |   0.9330  |               |              3.5567  |
|          |   eval  |      0.9395  |     0.9814  |   0.9330  |       0.9406  |              3.7064  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4199  |     0.7158  |   0.6768  |               |              0.3867  |
|          |      1  |      1.2637  |     0.8037  |   0.7665  |               |              0.7665  |
|          |      2  |      1.1982  |     0.8555  |   0.8191  |               |              1.1456  |
|          |      3  |      1.1367  |     0.8730  |   0.8294  |               |              1.4942  |
|          |      4  |      1.1582  |     0.8574  |   0.8348  |               |              1.8423  |
|          |      5  |      1.0938  |     0.8984  |   0.8296  |               |              2.1905  |
|          |      6  |      1.0371  |     0.9238  |   0.8982  |               |              2.5386  |
|          |      7  |      1.0332  |     0.9238  |   0.8931  |               |              2.8872  |
|          |      8  |      0.9692  |     0.9668  |   0.9233  |               |              3.2352  |
|          |      9  |      0.9443  |     0.9775  |   0.9336  |               |              3.5554  |
|          |   eval  |      0.9443  |     0.9775  |   0.9336  |       0.9402  |              3.7050  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4199  |     0.7178  |   0.7011  |               |              0.3867  |
|          |      1  |      1.2646  |     0.7969  |   0.7092  |               |              0.7667  |
|          |      2  |      1.1973  |     0.8379  |   0.8272  |               |              1.1456  |
|          |      3  |      1.1631  |     0.8584  |   0.8238  |               |              1.4942  |
|          |      4  |      1.1289  |     0.8770  |   0.8536  |               |              1.8425  |
